price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,zipcode,lat,long,yrs_old
221900.0,3,1.0,1.0,0.0,0.0,3,7,98178,47.5112,-122.257,59
538000.0,3,2.25,2.0,0.0,0.0,3,7,98125,47.721000000000004,-122.319,63
180000.0,2,1.0,1.0,0.0,0.0,3,6,98028,47.7379,-122.23299999999999,82
604000.0,4,3.0,1.0,0.0,0.0,5,7,98136,47.5208,-122.39299999999999,49
510000.0,3,2.0,1.0,0.0,0.0,3,8,98074,47.6168,-122.045,28
257500.0,3,2.25,2.0,0.0,0.0,3,7,98003,47.3097,-122.32700000000001,19
291850.0,3,1.5,1.0,0.0,0.0,3,7,98198,47.4095,-122.315,52
229500.0,3,1.0,1.0,0.0,0.0,3,7,98146,47.5123,-122.337,55
323000.0,3,2.5,2.0,0.0,0.0,3,7,98038,47.3684,-122.031,12
662500.0,3,2.5,1.0,0.0,0.0,3,8,98007,47.6007,-122.145,50
468000.0,2,1.0,1.0,0.0,0.0,4,7,98115,47.69,-122.292,72
310000.0,3,1.0,1.5,0.0,0.0,4,7,98028,47.7558,-122.229,87
400000.0,3,1.75,1.0,0.0,0.0,4,7,98074,47.6127,-122.045,37
530000.0,5,2.0,1.5,0.0,0.0,3,7,98107,47.67,-122.39399999999999,115
650000.0,4,3.0,2.0,0.0,3.0,3,9,98126,47.5714,-122.375,36
395000.0,3,2.0,2.0,0.0,0.0,3,7,98019,47.7277,-121.962,20
485000.0,4,1.0,1.5,0.0,0.0,4,7,98103,47.6648,-122.34299999999999,98
189000.0,2,1.0,1.0,0.0,0.0,4,7,98002,47.3089,-122.21,93
230000.0,3,1.0,1.0,0.0,0.0,4,7,98003,47.3343,-122.306,46
385000.0,4,1.75,1.0,0.0,0.0,4,7,98133,47.7025,-122.34100000000001,67
285000.0,5,2.5,2.0,0.0,0.0,3,8,98092,47.3266,-122.169,19
252700.0,2,1.5,1.0,0.0,0.0,3,7,98030,47.3533,-122.166,29
329000.0,3,2.25,2.0,0.0,0.0,4,8,98030,47.3739,-122.17200000000001,29
233000.0,3,2.0,1.5,0.0,0.0,5,6,98002,47.3048,-122.21799999999999,73
937000.0,3,1.75,2.0,0.0,0.0,3,8,98119,47.6386,-122.36,99
667000.0,3,1.0,1.5,0.0,0.0,5,8,98112,47.6221,-122.314,105
438000.0,3,1.75,1.0,0.0,0.0,3,7,98115,47.695,-122.304,66
719000.0,4,2.5,2.0,0.0,0.0,3,8,98052,47.7073,-122.11,10
580500.0,3,2.5,2.0,0.0,0.0,3,8,98027,47.5391,-122.07,11
280000.0,2,1.5,3.0,0.0,0.0,3,7,98133,47.7274,-122.35700000000001,9
687500.0,4,1.75,1.5,0.0,0.0,4,7,98117,47.6823,-122.368,85
